"","id","recclass","mass","fell_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"3327.4",10035,"Iron, ungrouped",19000,"Found",1940,53.1,7.2,"Iron","Achondrite","Iron",NA,NA,"0",1
"5222",17806,"LL3",1200,"Found",1979,30.23333,-5.86667,"LL","Chondrite","Stony","Ordinary","LL","2",0.064345060252235
"4358",12253,"L6",3500,"Fell",1937,42.45,73.36667,"L","Chondrite","Stony","Ordinary","L","8",0.0565394577591197
"4759",15435,"Iron, IVA",7140,"Found",1898,31.5,-96.88333,"Iron IVA","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"990",5391,"L6",2460,"Found",1946,-32.13333,141.03333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"7945",45977,"H5",17226,"Fell",1977,25.37,-97.37,"H","Chondrite","Stony","Ordinary","H","0",1
"4812.2",15495,"L5",2405,"Fell",1955,38.18333,15.56667,"L","Chondrite","Stony","Ordinary","L","0",1
"801",5178,"L6",5000,"Fell",1863,46.45,25.78333,"L","Chondrite","Stony","Ordinary","L","10",0.0031047003174863
"5785",22754,"H(5?)",9.8,"Found",1969,33.6,-103.3,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"5669",22637,"H6",340,"Fell",1876,41.08333,-86.28333,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"5410.3",18118,"Iron",12,"Fell",1922,38.13333,14.96667,"Iron","Achondrite","Iron",NA,NA,"0",1
"6758",24150,"L6",4000,"Found",1962,61.05,26.83333,"L","Chondrite","Stony","Ordinary","L","0",1
"5292.1",17975,"LL5",2500,"Found",1911,39.8,-100.51667,"LL","Chondrite","Stony","Ordinary","LL","2",0.064345060252235
"4860.1",16713,"CV3",4500,"Fell",1908,-39.63333,174.4,"CV","Chondrite","Stony","Carbonaceous","CV-CK","0",1
"533",2346,"L6",1300,"Fell",1923,52.05,0.3,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"3290",7815,"Iron, ungrouped",2405,"Found",1921,26.28333,34.25,"Iron","Achondrite","Iron",NA,NA,"0",1
"3400",10124,"H5",97.7,"Found",1967,-30.81667,128.21667,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
