"","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"4816",16628,"L3.7",22700,"Fell",1852,46.5,25.73333,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"4817",16629,"L6",350,"Fell",1827,25.9,83.61667,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"4819",16631,"H5",1100,"Fell",1980,34.8,111.7,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"4820",16632,"L6",1600,"Fell",1881,54.56667,-1.16667,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"4822",16634,"CM2",8000,"Fell",1889,48.06667,30.96667,"CM","Chondrite","Stony","Carbonaceous","CM-CO","10",0.461815233876118
"4823",16635,"L6",6380,"Fell",1992,35.56833,133.22,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"4824",16636,"L6",224.2,"Fell",1944,46.23333,17.53333,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"4825",16640,"L6",10000,"Fell",1842,46.18333,16.1,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"4835",16643,"Eucrite-mmict",330000,"Fell",1960,-26.45,120.36667,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","2",0.463225690897741
"4837",16645,"H5",16700,"Fell",1930,35.4,-92.05,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"4844",16692,"L",1040,"Fell",1632,35.07833,136.93333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"4847",16696,"Pallasite",42,"Fell",1826,37.28333,14.7,"Ungrouped","Achondrite","Stony-Iron","Pallasite",NA,"15",0.406210536590808
"4848",16697,"LL6",5500,"Fell",1952,32.33333,120.66667,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"4849",16700,"OC",550,"Fell",1905,47.7,16.6,"Chondrite","Chondrite","Stony",NA,NA,"10",0.461815233876118
"4850",16701,"L5",8510,"Fell",1910,25.68333,83.25,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"4851",16703,"H5",5800,"Fell",1890,56.66667,23,"H","Chondrite","Stony","Ordinary","H","10",0.461815233876118
"4854",16707,"H",100.7,"Fell",1898,61.73333,5.93333,"H","Chondrite","Stony","Ordinary","H","8",9.36101905684755
"4856",16709,"L5-6",3e+05,"Fell",1882,46.8,24.03333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"4858",16711,"L6",35000,"Fell",1905,38.5,-101.1,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"4860",16713,"CV3",4500,"Fell",1908,-39.63333,174.4,"CV","Chondrite","Stony","Carbonaceous","CV-CK","0",71.3451083182367
"4862",16715,"H5",144000,"Fell",1858,38.11667,-1.16667,"H","Chondrite","Stony","Ordinary","H","15",0.406210536590808
"4864",16717,"Howardite",150,"Fell",1953,-31.25,26.46667,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta","2",0.463225690897741
"4866",16719,"H5",2587,"Fell",1998,31.60833,-102.85833,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"4867",16720,"H4",8600,"Fell",1849,35.25,-80.5,"H","Chondrite","Stony","Ordinary","H","12",0.49799067553469
"4870",16725,"L5",4885,"Fell",1950,38.01667,-8.25,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"4871",16726,"L5",3130,"Fell",1846,43.26667,13.35,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"4872",16727,"H5",149000,"Fell",1923,43.39056,1.9625,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"4874",16729,"L6",500,"Fell",1838,47.63333,1.58333,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"4877",16733,"L6",367,"Fell",1950,-15.96667,27.35,"L","Chondrite","Stony","Ordinary","L","16",1.82339952891488
"4880",16736,"Eucrite-cm",1880,"Fell",1913,35.41667,-79.38333,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","2",0.463225690897741
"4881",16737,"H5",3520,"Fell",1810,52.45,-8.33333,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"4882",16738,"L6",8887.5,"Fell",1930,-40.975,145.6,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"4884",16740,"L6",70,"Fell",1808,28.78333,78.83333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"4886",16742,"H5",633,"Fell",2000,49.6,18.53333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"4891",16747,"H5",1300,"Fell",1875,44.6,5.13333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"4903",16759,"H6",1500,"Fell",1868,26.83333,77.33333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"4906",16762,"H4",9150,"Fell",1868,45.2,8.5,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"4908",16766,"H6",11300,"Fell",1902,-29.8,141.7,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"4921",16804,"L5",110000,"Fell",1991,18.7,4.8,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"4922",16805,"Stone-uncl",17000,"Fell",1637,44.08333,6.86667,"Stony",NA,"Stony",NA,NA,"10",0.461815233876118
"4925",16820,"Stone-uncl",1100,"Fell",1944,-11.5,33.5,"Stony",NA,"Stony",NA,NA,"15",0.406210536590808
"4946",16841,"L5",4400,"Fell",1865,12.63333,77.01667,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"4955",16851,"L",25.5,"Fell",1795,9.33333,80.83333,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"4977",16874,"L6",4703,"Fell",1924,24.5,90.21667,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"4978",16875,"CM2",1e+05,"Fell",1969,-36.61667,145.2,"CM","Chondrite","Stony","Carbonaceous","CM-CO","1",0.297273742080897
"4985",16882,"CM2",12600,"Fell",1950,36.6,-88.1,"CM","Chondrite","Stony","Carbonaceous","CM-CO","11",0.00485781484723708
"4988",16885,"Iron, IAB-sHL",1245,"Fell",1964,26.13333,85.53333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","1",0.297273742080897
"4990",16887,"OC",367,"Fell",1842,23.05,72.63333,"Chondrite","Chondrite","Stony",NA,NA,"1",0.297273742080897
"4992",16889,"H5",8165,"Fell",1956,12,1,"H","Chondrite","Stony","Ordinary","H","16",1.82339952891488
"4993",16890,"L6",1810,"Fell",1922,38.12167,140.06167,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"4994",16892,"Eucrite-cm",20,"Fell",1875,26.98333,78.21667,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","1",0.297273742080897
"4995",16893,"L5",6100,"Fell",1895,49.16667,19.5,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"5000",16898,"Martian (nakhlite)",10000,"Fell",1911,31.31667,30.35,"Nakhilite","Achondrite","Stony","Martian","SNC","14",0.498018659921233
"5001",16899,"L6",23200,"Fell",1923,13.73333,100.08333,"L","Chondrite","Stony","Ordinary","L","16",1.82339952891488
"5004",16902,"H5",4500,"Fell",1886,12.28333,79.2,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"5005",16903,"L6",52900,"Fell",1917,35.66667,103.5,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"5006",16904,"H6",7500,"Fell",1825,38.41667,-77.16667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"5008",16907,"H6",529,"Fell",1984,32.11667,121.8,"H","Chondrite","Stony","Ordinary","H","0",71.3451083182367
"5009",16908,"H6",17000,"Fell",1928,19.25,77,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"5010",16909,"H6",2700,"Fell",1974,33.75,51.5,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"5013",16912,"L6",367.5,"Fell",1928,-34.05,150.68889,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"5015",16914,"Stone-uncl",367,"Fell",920,42.51667,12.51667,"Stony",NA,"Stony",NA,NA,"11",0.00485781484723708
"5023",16922,"H4",347,"Fell",1936,-21.73333,165.9,"H","Chondrite","Stony","Ordinary","H","18",10.7446597222222
"5025",16927,"CM2",105,"Fell",1890,21.25,83.66667,"CM","Chondrite","Stony","Carbonaceous","CM-CO","1",0.297273742080897
"5032",16934,"L6",420,"Fell",1995,36.44917,136.46528,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"5033",16935,"Iron, ungrouped",4500,"Fell",1870,18.68333,83.48333,"Iron","Achondrite","Iron",NA,NA,"1",0.297273742080897
"5038",16941,"L6",2450,"Fell",1970,9.5,35.33333,"L","Chondrite","Stony","Ordinary","L","16",1.82339952891488
"5041",16945,"L6",10250,"Fell",1864,56.5,21.5,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"5052",16950,"EL6",6189,"Fell",2002,47.525,10.80833,"EL","Chondrite","Stony","Enstatite","EH-EL","11",0.00485781484723708
