"","name","id","nametype","recclass","mass_in_grams","fell_or_found","year","latitude","longitude","GeoLocation"
"8761","Dominion Range 08319",53089,"Valid","LL6",19.2,"Found",2008,0,0,"(0.0, 0.0)"
"8762","Dominion Range 08320",54093,"Valid","L6",7.1,"Found",2008,0,0,"(0.0, 0.0)"
"8763","Dominion Range 08321",53090,"Valid","LL6",14.1,"Found",2008,0,0,"(0.0, 0.0)"
"8764","Dominion Range 08322",54094,"Valid","LL6",3,"Found",2008,0,0,"(0.0, 0.0)"
"8765","Dominion Range 08323",54095,"Valid","L5",15.9,"Found",2008,0,0,"(0.0, 0.0)"
"8766","Dominion Range 08324",54096,"Valid","LL6",12.4,"Found",2008,0,0,"(0.0, 0.0)"
"8767","Dominion Range 08325",53091,"Valid","LL6",18.9,"Found",2008,0,0,"(0.0, 0.0)"
"8768","Dominion Range 08326",53092,"Valid","LL6",19.1,"Found",2008,0,0,"(0.0, 0.0)"
"8769","Dominion Range 08327",53093,"Valid","L5",3.5,"Found",2008,0,0,"(0.0, 0.0)"
"8770","Dominion Range 08328",53094,"Valid","LL6",19.5,"Found",2008,0,0,"(0.0, 0.0)"
"8771","Dominion Range 08329",54097,"Valid","L5",8.3,"Found",2008,0,0,"(0.0, 0.0)"
"8772","Dominion Range 08330",52120,"Valid","L6",18,"Found",2008,0,0,"(0.0, 0.0)"
"8773","Dominion Range 08331",52121,"Valid","H6",21,"Found",2008,0,0,"(0.0, 0.0)"
"8774","Dominion Range 08332",52122,"Valid","L6",24,"Found",2008,0,0,"(0.0, 0.0)"
"8775","Dominion Range 08333",52123,"Valid","LL6",35.6,"Found",2008,0,0,"(0.0, 0.0)"
"8776","Dominion Range 08334",53095,"Valid","LL6",19.8,"Found",2008,0,0,"(0.0, 0.0)"
"8777","Dominion Range 08335",53096,"Valid","L6",30.6,"Found",2008,0,0,"(0.0, 0.0)"
"8778","Dominion Range 08336",52124,"Valid","LL6",26.1,"Found",2008,0,0,"(0.0, 0.0)"
"8779","Dominion Range 08337",53097,"Valid","L-imp melt",27.6,"Found",2008,0,0,"(0.0, 0.0)"
"8780","Dominion Range 08338",52125,"Valid","L6",19,"Found",2008,0,0,"(0.0, 0.0)"
"8781","Dominion Range 08339",52126,"Valid","LL6",34.8,"Found",2008,0,0,"(0.0, 0.0)"
"8782","Dominion Range 08340",54098,"Valid","L5",4,"Found",2008,0,0,"(0.0, 0.0)"
"8783","Dominion Range 08341",54099,"Valid","LL6",3.4,"Found",2008,0,0,"(0.0, 0.0)"
"8784","Dominion Range 08342",54100,"Valid","L6",2.2,"Found",2008,0,0,"(0.0, 0.0)"
"8785","Dominion Range 08343",53098,"Valid","LL6",1,"Found",2008,0,0,"(0.0, 0.0)"
"8786","Dominion Range 08344",53099,"Valid","L6",11.4,"Found",2008,0,0,"(0.0, 0.0)"
"8787","Dominion Range 08345",53100,"Valid","LL6",5.7,"Found",2008,0,0,"(0.0, 0.0)"
"8788","Dominion Range 08346",53101,"Valid","LL5",4.1,"Found",2008,0,0,"(0.0, 0.0)"
"8789","Dominion Range 08347",53102,"Valid","L6",10.3,"Found",2008,0,0,"(0.0, 0.0)"
"8790","Dominion Range 08348",53103,"Valid","LL6",3,"Found",2008,0,0,"(0.0, 0.0)"
"8791","Dominion Range 08349",53104,"Valid","L6",6.2,"Found",2008,0,0,"(0.0, 0.0)"
"8792","Dominion Range 08350",52127,"Valid","H6",7.2,"Found",2008,0,0,"(0.0, 0.0)"
"8793","Dominion Range 08351",53105,"Valid","CO3",26.3,"Found",2008,0,0,"(0.0, 0.0)"
"8794","Dominion Range 08352",52128,"Valid","H6",14.6,"Found",2008,0,0,"(0.0, 0.0)"
"8795","Dominion Range 08353",53106,"Valid","L5",12.7,"Found",2008,0,0,"(0.0, 0.0)"
"8796","Dominion Range 08354",52129,"Valid","L6",6.8,"Found",2008,0,0,"(0.0, 0.0)"
"8797","Dominion Range 08355",52130,"Valid","L6",8,"Found",2008,0,0,"(0.0, 0.0)"
"8798","Dominion Range 08356",52131,"Valid","LL6",11,"Found",2008,0,0,"(0.0, 0.0)"
"8799","Dominion Range 08357",52132,"Valid","L6",8.9,"Found",2008,0,0,"(0.0, 0.0)"
"8800","Dominion Range 08358",52133,"Valid","L6",9.5,"Found",2008,0,0,"(0.0, 0.0)"
"8801","Dominion Range 08359",52134,"Valid","LL6",21.4,"Found",2008,0,0,"(0.0, 0.0)"
"8803","Dominion Range 08360",54101,"Valid","L6",14.6,"Found",2008,0,0,"(0.0, 0.0)"
