,name,id,nametype,recclass,mass_in_grams,fell_or_found,year,latitude,longitude,GeoLocation,group
6904,Loop (c),14704,Valid,OC,861.0,Found,1964,32.98333,-102.38833,"(32.98333, -102.38833)",Chon
6937,Lost Draw,14713,Valid,OC,309.0,Found,1980,33.28944,-102.54306,"(33.28944, -102.54306)",Chon
6949,Lucerne Valley 007,14731,Valid,OC,4.8,Found,1963,34.5,-116.95,"(34.5, -116.95)",Chon
7011,Luray,14758,Valid,OC,861.0,Found,1976,39.11667,-98.68333,"(39.11667, -98.68333)",Chon
7146,Motpena (b),16761,Valid,Chondrite-ung,304.0,Found,1972,-31.2,138.3,"(-31.2, 138.3)",Chon
7186,Mühlau,16843,Valid,OC,5.0,Found,1877,47.28333,11.41667,"(47.28333, 11.41667)",Chon
7225,Myersville,16886,Valid,OC,5397.0,Found,1969,28.95,-97.40278,"(28.95, -97.40278)",Chon
7254,Needmore,16937,Valid,OC,1793.0,Found,1976,34.04472,-102.79917,"(34.04472, -102.79917)",Chon
7268,New Moore (a),16958,Valid,OC,100.3,Found,1972,33.11667,-102.11667,"(33.11667, -102.11667)",Chon
7269,New Moore (b),16959,Valid,OC,200.0,Found,1975,33.11833,-102.11333,"(33.11833, -102.11333)",Chon
7523,Oasis State Park,17974,Valid,OC,606.0,Found,1968,34.22833,-103.35833,"(34.22833, -103.35833)",Chon
7656,Pep,18791,Valid,OC,591.0,Found,1966,33.73,-102.57667,"(33.73, -102.57667)",Chon
7688,Plainview (c),18843,Valid,OC,631.0,Found,1963,34.125,-101.75667,"(34.125, -101.75667)",Chon
7826,Ramlat as Sahmah 211,45917,Valid,Chondrite-ung,143.03,Found,2003,20.58587,55.87252,"(20.58587, 55.87252)",Chon
9099,Simbirsk (of P. Partsch),23602,Valid,OC,1500.0,Found,1838,54.3,48.4,"(54.3, 48.4)",Chon
9182,St. Vrain,23095,Valid,OC,45.5,Found,1971,34.31833,-103.47167,"(34.31833, -103.47167)",Chon
9206,Stratton,23730,Valid,OC,121.0,Found,1964,39.22167,-102.59,"(39.22167, -102.59)",Chon
9387,Thurman,23980,Valid,OC,1959.0,Found,1965,39.52167,-103.16667,"(39.52167, -103.16667)",Chon
9429,Tokio (b),24017,Valid,OC,823.0,Found,1974,33.205,-102.65833,"(33.205, -102.65833)",Chon
9562,Ural,24126,Valid,OC,9400.0,Found,1981,55.8,66.0,"(55.8, 66.0)",Chon
9618,Walnut Hill,24209,Valid,OC,220.0,Found,1978,43.827,-70.24717,"(43.827, -70.24717)",Chon
9654,Wellman (b),24238,Valid,OC,343.0,Found,1964,33.025,-102.41667,"(33.025, -102.41667)",Chon
19,Alais,448,Valid,CI1,6000.0,Fell,1806,44.11667,4.08333,"(44.11667, 4.08333)",CI
403,Ivuna,12063,Valid,CI1,704.5,Fell,1938,-8.41667,32.43333,"(-8.41667, 32.43333)",CI
722,Orgueil,18026,Valid,CI1,14000.0,Fell,1864,43.88333,1.38333,"(43.88333, 1.38333)",CI
834,Revelstoke,22592,Valid,CI1,1.0,Fell,1965,51.33333,-118.95,"(51.33333, -118.95)",CI
988,Tonk,24026,Valid,CI1,7.7,Fell,1911,24.65,76.86667,"(24.65, 76.86667)",CI
451,Karoonda,12264,Valid,CK4,41730.0,Fell,1930,-35.08333,139.91667,"(-35.08333, 139.91667)",CK
486,Kobe,12336,Valid,CK4,136.0,Fell,1999,34.73333,135.16667,"(34.73333, 135.16667)",CK
1766,Bi'r Tazit,48983,Valid,CK6,46.0,Found,1998,25.57117,12.37117,"(25.57117, 12.37117)",CK
1927,Camel Donga 003,5206,Valid,CK3,36.6,Found,1990,-30.11667,126.91667,"(-30.11667, 126.91667)",CK
2132,Cook 003,5423,Valid,CK4,1536.9,Found,1986,-30.31833,129.06333,"(-30.31833, 129.06333)",CK
2406,Dar al Gani 1030,5645,Valid,CK4/5,10.09,Found,1998,27.22167,16.25,"(27.22167, 16.25)",CK
2581,Dar al Gani 250,5798,Valid,CK4/5,57.0,Found,1997,27.21833,16.25417,"(27.21833, 16.25417)",CK
2606,Dar al Gani 275,5823,Valid,CK4/5,492.0,Found,1997,27.36233,16.08967,"(27.36233, 16.08967)",CK
2743,Dar al Gani 412,5960,Valid,CK5,946.0,Found,1998,27.347,16.08833,"(27.347, 16.08833)",CK
2762,Dar al Gani 431,5979,Valid,CK3-an,353.0,Found,1998,27.31283,16.232,"(27.31283, 16.232)",CK
3424,Dhofar 015,6714,Valid,CK3,184.0,Found,2000,18.64333,54.43,"(18.64333, 54.43)",CK
3749,Dhofar 1430,45834,Valid,CK3,134.0,Found,2006,18.56944,54.24,"(18.56944, 54.24)",CK
4957,El Médano 056,56280,Valid,CK5,180.0,Found,2011,-24.85,-70.53333,"(-24.85, -70.53333)",CK
5657,Hammadah al Hamra 280,11763,Valid,CK4,26500.0,Found,2000,28.47017,12.972,"(28.47017, 12.972)",CK
5658,Hammadah al Hamra 281,11764,Valid,CK4,3598.0,Found,2000,28.4925,13.213,"(28.4925, 13.213)",CK
5713,Hammadah al Hamra 337,32786,Valid,CK4,198.0,Found,2001,29.48333,12.12333,"(29.48333, 12.12333)",CK
5750,Hart,56555,Valid,CK3,966.0,Found,2010,34.37718,-102.11672,"(34.37718, -102.11672)",CK
6970,Lucerne Valley 028,35466,Valid,CK4,3.0,Found,2003,34.4875,-116.95567,"(34.4875, -116.95567)",CK
6971,Lucerne Valley 029,35467,Valid,CK4,10.1,Found,2003,34.487,-116.956,"(34.487, -116.956)",CK
6972,Lucerne Valley 030,35468,Valid,CK4,4.12,Found,2004,34.48708,-116.95797,"(34.48708, -116.95797)",CK
6973,Lucerne Valley 031,35469,Valid,CK4,3.22,Found,2004,34.4871,-116.9578,"(34.4871, -116.9578)",CK
6974,Lucerne Valley 032,35470,Valid,CK4,11.87,Found,2004,34.49015,-116.94985,"(34.49015, -116.94985)",CK
6975,Lucerne Valley 035,35471,Valid,CK4,0.92,Found,2004,34.4868,-116.95837,"(34.4868, -116.95837)",CK
6976,Lucerne Valley 036,35472,Valid,CK4,2.48,Found,2004,34.48793,-116.95638,"(34.48793, -116.95638)",CK
6977,Lucerne Valley 037,35473,Valid,CK4,0.9,Found,2004,34.48887,-116.95223,"(34.48887, -116.95223)",CK
6997,Lucerne Valley 094,52526,Valid,CK5,3.5,Found,2008,34.48712,-116.96147,"(34.48712, -116.96147)",CK
6998,Lucerne Valley 095,52527,Valid,CK5,1.1,Found,2008,34.48657,-116.9592,"(34.48657, -116.9592)",CK
7000,Lucerne Valley 097,52529,Valid,CK4,6.5,Found,2008,34.48565,-116.95673,"(34.48565, -116.95673)",CK
7001,Lucerne Valley 098,52530,Valid,CK4,1.5,Found,2008,34.48703,-116.95595,"(34.48703, -116.95595)",CK
7002,Lucerne Valley 099,52531,Valid,CK5,3.2,Found,2008,34.48733,-116.96055,"(34.48733, -116.96055)",CK
7003,Lucerne Valley 100,52532,Valid,CK5,0.8,Found,2008,34.48738,-116.96065,"(34.48738, -116.96065)",CK
7004,Lucerne Valley 101,52533,Valid,CK4,4.0,Found,2008,34.48598,-116.95593,"(34.48598, -116.95593)",CK
7038,Maralinga,15412,Valid,CK4-an,3388.0,Found,1974,-30.3,131.26667,"(-30.3, 131.26667)",CK
7409,Northwest Africa 4422,45438,Valid,CK4,147.72,Found,2006,32.26667,-3.46667,"(32.26667, -3.46667)",CK
7464,Northwest Africa 735,17817,Valid,CK4,161.0,Found,1999,30.61667,-4.11667,"(30.61667, -4.11667)",CK
7471,Northwest Africa 765,17838,Valid,CK4/5,767.0,Found,2000,31.56667,-4.51667,"(31.56667, -4.51667)",CK
7478,Northwest Africa 772,17845,Valid,CK3,71.0,Found,2000,26.44933,-11.6935,"(26.44933, -11.6935)",CK
9116,Sleeper Camp 006,23632,Valid,CK4,6.04,Found,1992,-30.16667,126.40433,"(-30.16667, 126.40433)",CK
9129,Sleeper Camp 019,50995,Valid,CK4/5,11.5,Found,1993,-30.10517,126.35,"(-30.10517, 126.35)",CK
9322,Tanezrouft 057,23858,Valid,CK4-an,5400.0,Found,2002,25.26667,0.15,"(25.26667, 0.15)",CK
9629,Watson 002,24222,Valid,CK3-an,83.8,Found,1991,-30.71667,131.51667,"(-30.71667, 131.51667)",CK
9735,Yarle Lakes 004,52945,Valid,CK4,4.6,Found,2009,-30.5,131.46667,"(-30.5, 131.46667)",CK
73,Banten,4938,Valid,CM2,629.0,Fell,1933,-6.33333,106.0,"(-6.33333, 106.0)",CM
132,Boriskino,5112,Valid,CM2,1342.0,Fell,1930,54.23333,52.48333,"(54.23333, 52.48333)",CM
207,Cold Bokkeveld,5397,Valid,CM2,5200.0,Fell,1838,-33.13333,19.38333,"(-33.13333, 19.38333)",CM
213,Crescent,5470,Valid,CM2,78.4,Fell,1936,35.95,-97.58333,"(35.95, -97.58333)",CM
282,Erakot,10042,Valid,CM2,113.0,Fell,1940,19.03333,81.89167,"(19.03333, 81.89167)",CM
361,Haripura,11829,Valid,CM2,315.0,Fell,1921,28.38333,75.78333,"(28.38333, 75.78333)",CM
581,Maribo,48973,Valid,CM2,25.81,Fell,2009,54.76183,11.46745,"(54.76183, 11.46745)",CM
612,Mighei,16634,Valid,CM2,8000.0,Fell,1889,48.06667,30.96667,"(48.06667, 30.96667)",CM
653,Murchison,16875,Valid,CM2,100000.0,Fell,1969,-36.61667,145.2,"(-36.61667, 145.2)",CM
654,Murray,16882,Valid,CM2,12600.0,Fell,1950,36.6,-88.1,"(36.6, -88.1)",CM
672,Nawapali,16927,Valid,CM2,105.0,Fell,1890,21.25,83.66667,"(21.25, 83.66667)",CM
693,Nogoya,16989,Valid,CM2,4000.0,Fell,1879,-32.36667,-59.83333,"(-32.36667, -59.83333)",CM
793,Pollen,18860,Valid,CM2,253.6,Fell,1942,66.34833,14.015,"(66.34833, 14.015)",CM
868,Santa Cruz,23164,Valid,CM2,60.0,Fell,1939,24.16667,-99.33333,"(24.16667, -99.33333)",CM
876,Sayama,23192,Valid,CM2,430.0,Fell,1986,35.86667,139.4,"(35.86667, 139.4)",CM
1427,Acfer 331,338,Valid,CM2,750.0,Found,2001,27.58333,4.01667,"(27.58333, 4.01667)",CM
1836,Bou Kra 005,57348,Valid,CM2,31.14,Found,2010,26.819,-12.724,"(26.819, -12.724)",CM
2084,Cimarron,5365,Valid,CM2,367.0,Found,1948,37.85,-100.35,"(37.85, -100.35)",CM
2886,Dar al Gani 557,6105,Valid,CM2,97.0,Found,1997,27.211,16.35183,"(27.211, 16.35183)",CM
3664,Dhofar 1277,34021,Valid,CM2,10.0,Found,2005,19.18067,54.41883,"(19.18067, 54.41883)",CM
3753,Dhofar 1434,48539,Valid,CM-an,42.0,Found,2007,18.35675,54.02592,"(18.35675, 54.02592)",CM
3932,Dhofar 1619,52887,Valid,CM2,6.18,Found,2007,18.67458,54.43995,"(18.67458, 54.43995)",CM
4120,Dhofar 225,7009,Valid,CM-an,90.0,Found,2001,18.36,54.18833,"(18.36, 54.18833)",CM
4612,Dhofar 735,7488,Valid,CM2,381.0,Found,2002,19.06833,54.78,"(19.06833, 54.78)",CM
4781,Dhofar 955,30535,Valid,CM2,16.0,Found,2003,19.055,54.75333,"(19.055, 54.75333)",CM
5109,El-Quss Abu Said,10026,Valid,CM2,53.1,Found,1999,27.31417,27.96467,"(27.31417, 27.96467)",CM
6721,Kivesvaara,12328,Valid,CM2,164.0,Found,1968,64.45,27.56667,"(64.45, 27.56667)",CM
6897,Lookout Hill,14697,Valid,CM2,16.6,Found,1976,-30.09056,128.80583,"(-30.09056, 128.80583)",CM
7112,Moapa Valley,48952,Valid,CM1,698.8,Found,2004,36.55722,-114.42694,"(36.55722, -114.42694)",CM
9346,Tanezrouft 082,31343,Valid,CM2,1012.0,Found,2003,24.81727,-0.43427,"(24.81727, -0.43427)",CM
294,Felix,10081,Valid,CO3.3,3200.0,Fell,1900,32.53333,-87.16667,"(32.53333, -87.16667)",CO
432,Kainsaz,12229,Valid,CO3.2,200000.0,Fell,1937,55.43333,53.25,"(55.43333, 53.25)",CO
517,Lancé,12455,Valid,CO3.5,51700.0,Fell,1872,47.7,1.06667,"(47.7, 1.06667)",CO
643,Moss,36592,Valid,CO3.6,3763.0,Fell,2006,59.43333,10.7,"(59.43333, 10.7)",CO
724,Ornans,18030,Valid,CO3.4,6000.0,Fell,1868,47.11667,6.15,"(47.11667, 6.15)",CO
1046,Warrenton,24215,Valid,CO3.7,1600.0,Fell,1877,38.68333,-91.15,"(38.68333, -91.15)",CO
