"","lat_gs","long_gs","ffscore","fallorfind"
"796",51,-2,0,"both"
"797",52,-2,1,"fall"
"798",54,-2,0,"both"
"799",11,-1,1,"fall"
"800",12,-1,1,"fall"
"801",13,-1,1,"fall"
"802",24,-1,-1,"find"
"803",25,-1,-1,"find"
"804",27,-1,-1,"find"
"805",38,-1,1,"fall"
"806",39,-1,0,"both"
"807",41,-1,0,"both"
"808",43,-1,1,"fall"
"809",45,-1,1,"fall"
"810",47,-1,1,"fall"
"811",48,-1,1,"fall"
"812",52,-1,1,"fall"
"813",54,-1,1,"fall"
"814",12,0,1,"fall"
"815",14,0,1,"fall"
"816",24,0,-1,"find"
"817",25,0,-1,"find"
"818",26,0,-1,"find"
"819",27,0,-1,"find"
"820",28,0,0,"both"
"821",41,0,1,"fall"
"822",42,0,1,"fall"
"823",43,0,1,"fall"
"824",44,0,1,"fall"
"825",45,0,1,"fall"
"826",46,0,1,"fall"
"827",47,0,1,"fall"
"828",48,0,1,"fall"
"829",52,0,1,"fall"
"830",12,1,1,"fall"
"831",14,1,1,"fall"
"832",21,1,-1,"find"
"833",24,1,-1,"find"
"834",25,1,-1,"find"
"835",28,1,-1,"find"
"836",29,1,-1,"find"
"837",41,1,0,"both"
"838",43,1,1,"fall"
"839",45,1,1,"fall"
"840",46,1,1,"fall"
"841",47,1,1,"fall"
"842",49,1,-1,"find"
"843",30,2,-1,"find"
"844",41,2,0,"both"
"845",42,2,1,"fall"
"846",43,2,1,"fall"
"847",44,2,1,"fall"
"848",47,2,1,"fall"
"849",50,2,1,"fall"
"850",13,3,1,"fall"
"851",26,3,-1,"find"
"852",27,3,-1,"find"
"853",29,3,-1,"find"
"854",30,3,-1,"find"
"855",34,3,1,"fall"
"856",36,3,0,"both"
"857",44,3,1,"fall"
"858",45,3,1,"fall"
"859",48,3,0,"both"
"860",50,3,1,"fall"
"861",51,3,1,"fall"
"862",18,4,1,"fall"
"863",22,4,0,"both"
"864",26,4,-1,"find"
"865",27,4,-1,"find"
"866",28,4,-1,"find"
"867",29,4,-1,"find"
"868",30,4,-1,"find"
"869",32,4,-1,"find"
"870",44,4,1,"fall"
"871",46,4,1,"fall"
"872",47,4,-1,"find"
"873",49,4,-1,"find"
"874",50,4,1,"fall"
"875",51,4,1,"fall"
"876",13,5,0,"both"
"877",19,5,-1,"find"
"878",30,5,-1,"find"
"879",36,5,1,"fall"
"880",43,5,1,"fall"
"881",44,5,0,"both"
