"","id","recclass","mass","fall_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","over_under","coords.x1","coords.x2","optional"
"3096",7565,"H4",72.14,"Found",2001,19.04028,54.49387,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.49387,19.04028,TRUE
"6666",24053,"H",357.4,"Fell",1950,58.47333,8.86667,"H","Chondrite","Stony","Ordinary","H","0",71.3451083182367,8.86667,58.47333,TRUE
"1892",6302,"L6",200,"Found",1999,27.85,15.884,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,15.884,27.85,TRUE
"7486",35496,"L~5",81.93,"Found",2001,19.1422,54.88057,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,54.88057,19.1422,TRUE
"7678",35689,"H~6",102.4,"Found",2004,20.0018,56.4922,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,56.4922,20.0018,TRUE
"3803",11649,"L6",52,"Found",1995,28.66767,13.5035,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,13.5035,28.66767,TRUE
"5429",18788,"H5",3580,"Found",1947,39.35,-99.91667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741,-99.91667,39.35,TRUE
"7258",31368,"L4",1.75,"Found",2004,34.48457,-116.96255,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-116.96255,34.48457,TRUE
"3078",7547,"H6",119.15,"Found",2001,19.05568,54.55108,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.55108,19.05568,TRUE
"549",4891,"L6",2100,"Found",1963,40.51667,-103.26667,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741,-103.26667,40.51667,TRUE
"2788",7257,"L4",354,"Found",2000,18.155,54.11167,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,54.11167,18.155,TRUE
"2062",6472,"L6",140,"Found",2000,27.11667,16.46667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,16.46667,27.11667,TRUE
"4750",15425,"L5",2890,"Found",1955,38.36667,-97.03333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-97.03333,38.36667,TRUE
"7739",44718,"L5",6,"Found",2003,34.525,-116.95333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-116.95333,34.525,TRUE
"1357",5763,"H6",3600,"Found",1996,27.1275,16.104,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,16.104,27.1275,TRUE
"5135",17044,"L4",3500,"Found",1999,32.05,-3.03333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-3.03333,32.05,TRUE
"3838",11684,"H6",127,"Found",1997,28.62133,13.25883,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,13.25883,28.62133,TRUE
"8032",48581,"L4/5",5.757,"Found",2007,19.93755,56.47403,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,56.47403,19.93755,TRUE
"862",5245,"Iron, IIIAB",15400,"Found",1929,37.36667,-85.36667,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","11",0.00485781484723708,-85.36667,37.36667,TRUE
"2824",7293,"H5",86,"Found",2001,18.42,54.24667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.24667,18.42,TRUE
"6438",23754,"L6",67.21,"Found",2001,35.23833,-117.03283,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-117.03283,35.23833,TRUE
"8331",51048,"L6",97,"Found",2009,22.89183,55.18142,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,55.18142,22.89183,TRUE
"5055",16953,"L6",230000,"Fell",1860,40,-81.76667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-81.76667,40,TRUE
"1919",6329,"H5",89.9,"Found",2000,26.9705,16.469,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,16.469,26.9705,TRUE
"7666",35677,"H4",21.63,"Found",2005,20.56322,56.19473,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,56.19473,20.56322,TRUE
"7806",45838,"Lunar",24.2,"Found",2004,18.42333,54.42333,"Lunar","Achondrite","Stony","Moon",NA,"11",0.00485781484723708,54.42333,18.42333,TRUE
"8833",52653,"H5",1.5,"Found",2009,-30.5,131.68333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,131.68333,-30.5,TRUE
"6594",23906,"H5",26200,"Found",1937,36.4,-103.01667,"H","Chondrite","Stony","Ordinary","H","13",0.428663281861922,-103.01667,36.4,TRUE
"3885",11731,"H3.9",2345,"Found",1997,28.643,12.77533,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,12.77533,28.643,TRUE
"4498",12401,"Iron, IIIAB",14540,"Found",1900,41.6,-86.71667,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","1",0.297273742080897,-86.71667,41.6,TRUE
"6808",24197,"L6",9,"Found",1986,38.67667,-113.30167,"L","Chondrite","Stony","Ordinary","L","13",0.428663281861922,-113.30167,38.67667,TRUE
"1774",6182,"H5",1390,"Found",1998,26.90483,16.679,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,16.679,26.90483,TRUE
"3761",11607,"H5",5130,"Found",1995,28.47233,13.18183,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,13.18183,28.47233,TRUE
"9892",57432,"L5",263,"Found",2011,19.18687,54.8817,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,54.8817,19.18687,TRUE
"5880",23156,"Iron, IIAB",45000,"Found",1925,35.25,-106.5,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","13",0.428663281861922,-106.5,35.25,TRUE
"4999",16897,"L",5000,"Found",1980,29.36667,79.43333,"L","Chondrite","Stony","Ordinary","L","15",0.406210536590808,79.43333,29.36667,TRUE
"3832",11678,"L4",85,"Found",1996,28.84383,12.5365,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,12.5365,28.84383,TRUE
"9480",56236,"H5",35.3,"Found",2011,19.7548,55.59118,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,55.59118,19.7548,TRUE
"5099",17007,"EL6",4400,"Found",1971,-30.6,127.81667,"EL","Chondrite","Stony","Enstatite","EH-EL","14",0.498018659921233,127.81667,-30.6,TRUE
"9865",57321,"L~6",448,"Found",2011,-24.85,-70.53333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-70.53333,-24.85,TRUE
"36",37,"H5",206,"Found",1989,27.66667,4.2,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233,4.2,27.66667,TRUE
"4035",11886,"Iron, IVA",11700,"Found",1947,39.36667,-99.85,"Iron IVA","Achondrite","Iron","Magmatic","Siderite","2",0.463225690897741,-99.85,39.36667,TRUE
"9320",55572,"L5",50000,"Found",2011,18.67877,54.2876,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,54.2876,18.67877,TRUE
"7309",33924,"H4",1088,"Found",2005,18.895667,54.343556,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.343556,18.895667,TRUE
"4572",12748,"H5",3000,"Fell",1845,47.16667,0.43333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897,0.43333,47.16667,TRUE
"5020",16919,"LL6",375,"Found",1907,59.18333,12.21667,"LL","Chondrite","Stony","Ordinary","LL","0",71.3451083182367,12.21667,59.18333,TRUE
"2378",6847,"H4/5",205,"Found",2000,18.91903,54.71077,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.71077,18.91903,TRUE
"1589",5995,"H4/5",526,"Found",1998,27.46067,16.17083,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,16.17083,27.46067,TRUE
"5344",18042,"L6",246,"Fell",1928,58.88333,9.4,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118,9.4,58.88333,TRUE
"3710",11556,"C4-ung",569,"Found",1994,28.78767,12.87017,"Chondrite","Chondrite","Stony","Carbonaceous",NA,"11",0.00485781484723708,12.87017,28.78767,TRUE
"8885",52980,"L6",10.1,"Found",2008,35.30455,-117.45817,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-117.45817,35.30455,TRUE
"1562",5968,"L6",150,"Found",1998,27.86433,15.87333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,15.87333,27.86433,TRUE
"2490",6959,"H6",173,"Found",2000,19.0625,54.55222,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.55222,19.0625,TRUE
"1540",5946,"H6",502,"Found",1998,27.8365,15.8245,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,15.8245,27.8365,TRUE
"1930",6340,"LL6",109,"Found",2000,27.46367,16.1465,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708,16.1465,27.46367,TRUE
"3999",11849,"L5",36000,"Found",1909,33.21333,-99.73167,"L","Chondrite","Stony","Ordinary","L","15",0.406210536590808,-99.73167,33.21333,TRUE
"2540",7009,"CM-an",90,"Found",2001,18.36,54.18833,"CM","Chondrite","Stony","Carbonaceous","CM-CO","11",0.00485781484723708,54.18833,18.36,TRUE
"4138",11994,"OC",367,"Fell",1949,38,35,"Chondrite","Chondrite","Stony",NA,NA,"13",0.428663281861922,35,38,TRUE
