"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"403",4303,12171,"H5",4e+06,"Fell",1976,44.05,126.16667,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"630",4977,16874,"L6",4703,"Fell",1924,24.5,90.21667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"426",4348,12240,"H5",448,"Fell",1913,36.04167,139.95667,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"526",4651,14708,"L6",25,"Fell",1894,38,-0.83333,"L","Chondrite","Stony","Ordinary","L",0,71.3451083182367
"383",4145,12004,"H6",7330,"Fell",1975,-6.03333,145.36667,"H","Chondrite","Stony","Ordinary","H",18,10.7446597222222
"826",5829,23081,"L6",360,"Fell",1883,44.75,0.05,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"878",6248,23531,"L6",605,"Fell",1976,33.65,120.06667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"515",4601,12772,"L6",2000,"Fell",1896,50.36667,4.73333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"931",6572,23887,"L6",6000,"Fell",1929,35.13333,44.45,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"476",4463,12363,"OC",845.2,"Fell",1906,56.8,77,"Chondrite","Chondrite","Stony",NA,NA,8,9.36101905684755
"392",4193,12058,"EH7-an",4720,"Fell",1990,26.59083,-12.95217,"EH","Chondrite","Stony","Enstatite","EH-EL",11,0.00485781484723708
"332",3590,11435,"H5",2910,"Fell",1996,39.80417,122.76389,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"958",6666,24053,"H",357.4,"Fell",1950,58.47333,8.86667,"H","Chondrite","Stony","Ordinary","H",0,71.3451083182367
"1057",7169,30751,"H5/6",4629,"Fell",2004,12.83333,9.38333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"209",1106,5511,"L6",5650,"Fell",1878,26.91667,83.96667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"115",689,5059,"Aubrite",6000,"Fell",1843,34.16667,-80.28333,"Aubrite","Achondrite","Stony","Asteroidal",NA,12,0.49799067553469
"793",5572,22390,"H5",300,"Fell",1899,19.86667,-100.81667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"491",4491,12394,"OC",399,"Fell",1878,20.66667,-101.28333,"Chondrite","Chondrite","Stony",NA,NA,15,0.406210536590808
"560",4746,15421,"H6",3200,"Fell",1941,4.66667,29.25,"H","Chondrite","Stony","Ordinary","H",16,1.82339952891488
"682",5286,17969,"Iron, IIIAB",737.6,"Fell",1939,21.20833,94.91667,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite",1,0.297273742080897
"304",3483,10860,"Iron, IIE",380,"Fell",1917,27.88333,68.53333,"Iron IIE","Achondrite","Iron","Non-magmatic","Primative",2,0.463225690897741
"551",4725,15397,"H5",367,"Fell",1931,-28.93333,-63.23333,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"220",2224,6693,"H6",25400,"Fell",1962,25.73333,73.61667,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"896",6358,23645,"L4",2750,"Fell",1818,55,35,"L","Chondrite","Stony","Ordinary","L",10,0.461815233876118
"703",5339,18034,"H6",3400,"Fell",1872,42.13333,12.93333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1090",8104,48654,"H4",41000,"Fell",2008,52.996,-109.84817,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"553",4728,15401,"L6",1000,"Fell",1927,45.21667,62.08333,"L","Chondrite","Stony","Ordinary","L",14,0.498018659921233
"1103",8710,52090,"L5",3584,"Fell",2010,42.9075,-90.36556,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"763",5487,18849,"L5",39,"Fell",1723,50.53333,14.11667,"L","Chondrite","Stony","Ordinary","L",10,0.461815233876118
"351",3979,11829,"CM2",315,"Fell",1921,28.38333,75.78333,"CM","Chondrite","Stony","Carbonaceous","CM-CO",1,0.297273742080897
"19",437,447,"LL5",700,"Fell",2001,13.66033,28.96,"LL","Chondrite","Stony","Ordinary","LL",11,0.00485781484723708
"1079",7962,47351,"Iron, IIE-an",6800,"Fell",2006,25.14333,75.81333,"Iron IIE","Achondrite","Iron","Magmatic","Siderite",11,0.00485781484723708
"354",3997,11848,"H4",1110.6,"Fell",1910,35.2945,136.70033,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"1010",6869,24249,"H4",150000,"Fell",1807,41.266667,-73.266667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"637",4994,16892,"Eucrite-cm",20,"Fell",1875,26.98333,78.21667,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",1,0.297273742080897
"1109",8931,53810,"H5",4300,"Fell",2010,48.76367,21.17633,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1041",6975,30389,"Pallasite, PMG-an",330,"Fell",1898,33.7,133.8,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,11,0.00485781484723708
"56",547,4888,"L6",1384.2,"Fell",1945,34.31667,-96.15,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"140",782,5156,"L6",303000,"Fell",1960,53.9,-112.88333,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"924",6467,23784,"H4/5",1000,"Fell",1991,34.72,137.305,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"292",3453,10177,"Howardite",650,"Fell",1868,34.48333,-87.83333,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta",12,0.49799067553469
"129",739,5111,"L6",8600,"Fell",1894,21.95,78.03333,"L","Chondrite","Stony","Ordinary","L",16,1.82339952891488
"87",620,4976,"LL5",1557,"Fell",1989,11.08333,-0.18333,"LL","Chondrite","Stony","Ordinary","LL",16,1.82339952891488
"111",675,5043,"H4",1900,"Fell",1887,50.13333,27.16667,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"397",4206,12072,"H6",22,"Fell",1866,18.75,75.33333,"H","Chondrite","Stony","Ordinary","H",15,0.406210536590808
"695",5319,18009,"L6",16570,"Fell",1930,52.95,8.16667,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"811",5656,22611,"L4",1310,"Fell",1934,-26.1,-49.8,"L","Chondrite","Stony","Ordinary","L",12,0.49799067553469
"297",3471,10846,"H6",132.7,"Fell",1826,44.3,0.4,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"327",3579,11207,"H5",10500,"Fell",1837,49.26667,18.71667,"H","Chondrite","Stony","Ordinary","H",10,0.461815233876118
"619",4884,16740,"L6",70,"Fell",1808,28.78333,78.83333,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"76",595,4942,"H5",6400,"Fell",1790,43.95,-0.05,"H","Chondrite","Stony","Ordinary","H",12,0.49799067553469
"952",6654,24036,"H6",1030,"Fell",1812,43.6,1.4,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"929",6569,23884,"Diogenite",12000,"Fell",1931,32.95,10.41667,"Diogenite","Achondrite","Stony","Asteroidal","H-E-D Vesta",14,0.498018659921233
"720",5390,18093,"L5",10500,"Fell",1859,15.08333,120.7,"L","Chondrite","Stony","Ordinary","L",16,1.82339952891488
"461",4408,12308,"H5",772,"Fell",1911,43.58333,-89.6,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"224",2230,6699,"OC",1800,"Fell",1848,14.88333,75.6,"Chondrite","Chondrite","Stony",NA,NA,1,0.297273742080897
"38",486,2302,"Angrite",1500,"Fell",1869,-22.96667,-44.31667,"Angrite","Achondrite","Stony","Asteroidal",NA,2,0.463225690897741
"374",4062,11916,"Iron, IID",49000,"Fell",1751,46.1,16.33333,"Iron IID","Achondrite","Iron","Magmatic","Siderite",11,0.00485781484723708
"685",5301,17988,"H5",1400,"Fell",1927,52.28333,8.05,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"237",3203,7718,"H5-7",3891,"Fell",1805,51.2,112.3,"H","Chondrite","Stony","Ordinary","H",8,9.36101905684755
"98",657,5024,"LL6",45000,"Fell",2002,30,-7,"LL","Chondrite","Stony","Ordinary","LL",11,0.00485781484723708
"163",905,5295,"Stone-uncl",15000,"Fell",1583,39.8,16.2,"Stony",NA,"Stony",NA,NA,15,0.406210536590808
"717",5374,18077,"Iron",18000,"Fell",1914,43.48333,118.61667,"Iron","Achondrite","Iron",NA,NA,2,0.463225690897741
"221",2225,6694,"H3.8",12000,"Fell",2001,19,81,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"615",4877,16733,"L6",367,"Fell",1950,-15.96667,27.35,"L","Chondrite","Stony","Ordinary","L",16,1.82339952891488
"1082",7965,47351,"Iron, IIE-an",6800,"Fell",2006,25.14333,75.81333,"Iron IIE","Achondrite","Iron","Non-magmatic","Primative",11,0.00485781484723708
