"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"4305",4305,12174,"Iron, IIIAB",42600,"Found",1884,35.76667,-91.5,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite",2,0.463225690897741
"1720",1720,6128,"H5",48.5,"Found",1998,27.09933,16.15533,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"5692",5692,22661,"L6",9.7,"Found",1979,34.08333,-103.5,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"4708",4708,15378,"L6",42000,"Found",1984,34.21667,-103.91667,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"5732",5732,22701,"H5",120.4,"Found",1970,34.1,-103.48333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"7891",7891,45923,"H5",22.1,"Found",2001,21.0769,57.29693,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1439",1439,5845,"L6",255,"Found",1997,27.325,16.165,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"3122",3122,7591,"H4",190,"Found",2001,18.40833,54.13,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"9759",9759,56673,"H4",11.9,"Found",2010,-25.23333,-69.71667,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"2868",2868,7337,"H5",183,"Found",2001,18.67985,54.41197,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"3224",3224,7741,"H5",46050,"Found",1956,35.9,-101.9,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"504",504,2323,"L5",19083,"Found",1940,38.8,-102.2,"L","Chondrite","Stony","Ordinary","L",13,0.428663281861922
"7560",7560,35570,"Mesosiderite",106.6,"Found",2005,19.98118,56.41658,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,11,0.00485781484723708
"7791",7791,45823,"H~5",854.7,"Found",2001,19.61287,57.27038,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"9551",9551,56344,"H5",238,"Found",2010,18.95435,54.6369,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"2203",2203,6642,"L5",0.8,"Fell",1897,28.56667,77.25,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"7793",7793,45825,"H4",1865.6,"Found",2001,19.64073,57.28857,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1085",1085,5488,"H5",19,"Found",2000,35.31833,-117.46667,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1041",1041,5439,"L6",116.7,"Found",1966,-30.45,126.1,"L","Chondrite","Stony","Ordinary","L",14,0.498018659921233
"7774",7774,44983,"Angrite",212.8,"Found",2006,30.31708,-4.94288,"Angrite","Achondrite","Stony","Asteroidal",NA,11,0.00485781484723708
"6194",6194,23477,"H6",444,"Found",2002,20.81833,12.97333,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"3700",3700,11546,"H6",476,"Found",1994,28.77583,12.33683,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"4027",4027,11879,"L6",12900,"Found",1951,38.11667,-97.43333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"305",305,308,"H6",270,"Found",1992,27.59028,4.15194,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"505",505,2324,"L/LL5",132000,"Found",1973,55.14167,48.2,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"1472",1472,5878,"L5",353,"Found",1997,27.10417,16.1175,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"5525",5525,18895,"L",7.7,"Found",1944,34.4,-106.85,"L","Chondrite","Stony","Ordinary","L",13,0.428663281861922
"9294",9294,55546,"H5",9056,"Found",1946,-31.4875,122.12389,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"6779",6779,24166,"Iron, IIIAB",18000,"Found",1854,54.76667,113.98333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite",8,9.36101905684755
"1886",1886,6296,"CO3",95000,"Found",1999,27.30167,15.7645,"CO","Chondrite","Stony","Carbonaceous","CM-CO",11,0.00485781484723708
"9297",9297,55549,"Eucrite-cm",12.1,"Found",1992,-26.21667,122.5,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"9149",9149,55289,"L6",93,"Found",2011,35.06639,-114.0975,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"2648",2648,7117,"H3.9",973,"Found",2000,19.05667,54.69833,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"3971",3971,11819,"OC",2505,"Found",1972,34.59333,-101.99333,"Chondrite","Chondrite","Stony",NA,NA,2,0.463225690897741
"6690",6690,24079,"H5",7,"Found",2001,39.68072,-117.62778,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"2853",2853,7322,"H5",692,"Found",2001,18.7271,54.37072,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"8007",8007,48556,"Eucrite",980,"Found",2006,19.68578,56.62402,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"1048",1048,5448,"Iron, IAB complex",1328,"Found",1884,-26.03333,-70.33333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative",13,0.428663281861922
"1165",1165,5571,"C3-ung",451,"Found",1995,27.26717,16.42033,"Chondrite","Chondrite","Stony","Carbonaceous",NA,11,0.00485781484723708
"2448",2448,6917,"Ureilite",5010,"Found",2000,19.15,54.58067,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,11,0.00485781484723708
"9439",9439,56190,"H5",199.9,"Found",2011,19.61972,54.14843,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"346",346,349,"H3-5",140,"Found",2002,27.619722,4.265,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1463",1463,5869,"H5",213,"Found",1997,27.09867,16.14133,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"5332",5332,18026,"CI1",14000,"Fell",1864,43.88333,1.38333,"CI","Chondrite","Stony","Carbonaceous","CI",11,0.00485781484723708
"4853",4853,16705,"Iron, ungrouped",10000,"Found",1804,16.8,-97.1,"Iron","Achondrite","Iron",NA,NA,1,0.297273742080897
"7332",7332,34011,"L~5",201.1,"Found",2004,20.5274,57.13517,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"8123",8123,48907,"H6",19,"Found",2008,31.87164,10.19361,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
